ID,Tipo,Mag,Prob,RA,DEC
8987,Quasar,20.56,58,14:46:58,-77:37:17
8988,Supernova,20.15,27,04:16:03,+25:22:27
8989,Quasar,14.44,52,13:27:44,+28:32:32
8990,Quasar,12.28,37,12:54:13,-74:31:59
8991,GRB,18.06,61,08:49:25,+20:00:42
8992,Ruido,18.48,7,02:29:18,+23:02:46
8993,Supernova,19.08,31,21:32:20,-40:02:15
8994,Variable_Star,13.33,78,12:11:23,-70:31:12
8995,Variable_Star,13.44,21,05:48:51,-34:55:20
8996,Ruido,17.48,39,09:55:05,+36:50:38
8997,GRB,13.23,68,07:37:48,-77:07:00
8998,Variable_Star,14.46,53,15:47:40,+67:01:29
8999,Ruido,15.42,40,01:58:57,-06:22:52
9000,Variable_Star,12.72,72,04:06:50,+68:24:28
9001,Ruido,16.78,60,16:56:50,-49:36:37
9002,Quasar,16.78,66,09:12:00,+52:17:58
9003,Ruido,19.59,34,14:19:24,-30:31:31
9004,GRB,16.15,94,15:06:24,-47:48:20
9005,GRB,12.33,96,17:56:25,-21:19:38
9006,Supernova,13.26,93,08:52:41,+37:29:00
9007,GRB,20.27,55,15:00:57,+14:38:04
9008,Quasar,20.90,88,08:58:54,-38:42:50
9009,Ruido,12.88,18,08:28:18,-38:50:10
9010,Quasar,17.53,67,23:40:29,+07:19:29
9011,Variable_Star,21.06,14,13:53:02,-09:14:01
9012,Supernova,17.32,72,05:15:48,-19:36:17
9013,Ruido,21.04,13,21:52:41,+09:52:21
9014,GRB,16.21,69,13:55:35,+35:30:29
9015,Ruido,21.61,73,18:19:15,-06:32:30
9016,Supernova,21.34,13,13:38:01,+35:31:54
9017,Supernova,12.76,80,17:07:12,-14:40:08
9018,GRB,15.77,65,12:06:36,-48:51:56
9019,Variable_Star,15.34,47,00:36:24,-64:10:02
9020,GRB,20.73,57,02:15:38,+69:59:46
9021,GRB,16.23,45,05:26:49,+70:56:56
9022,Variable_Star,13.88,80,10:41:08,+74:42:44
9023,Supernova,20.51,93,08:01:47,+77:07:03
9024,Variable_Star,12.09,4,08:06:28,+52:21:54
9025,Ruido,14.49,86,13:45:02,-27:11:44
9026,Variable_Star,13.03,44,05:25:17,-63:47:19
9027,Quasar,19.15,44,23:17:27,-82:37:33
9028,Variable_Star,16.23,92,10:02:10,-39:35:55
9029,Supernova,21.47,11,01:26:12,+02:39:38
9030,Quasar,20.20,42,02:46:08,+12:46:25
9031,GRB,20.15,5,14:19:28,+00:45:30
9032,Ruido,12.45,11,14:22:03,+37:26:29
9033,Quasar,21.60,15,13:45:58,+85:53:44
9034,GRB,16.58,52,12:28:19,+16:03:39
9035,GRB,17.70,42,13:14:27,+34:50:50
9036,Ruido,17.44,29,05:27:15,-19:01:01
9037,Supernova,21.99,91,02:06:21,+24:38:50
9038,Quasar,14.37,91,15:18:28,-82:53:43
9039,Variable_Star,17.80,56,08:19:06,+26:34:34
9040,Quasar,21.69,59,22:20:35,+58:27:42
9041,GRB,13.01,35,00:04:35,+79:41:53
9042,Variable_Star,19.45,78,03:15:21,+36:36:41
9043,Quasar,14.63,26,09:09:13,+83:04:34
9044,Variable_Star,21.03,3,06:05:08,+19:07:12
9045,GRB,12.61,91,02:28:38,+65:37:54
9046,Supernova,15.23,52,21:07:47,-61:30:56
9047,Supernova,16.70,2,23:01:55,-90:17:01
9048,GRB,20.93,14,08:05:12,-46:10:40
9049,Quasar,12.40,30,19:15:37,-33:10:45
9050,GRB,15.35,25,01:43:43,-76:41:45
9051,GRB,18.95,3,00:50:55,-60:10:01
9052,Supernova,16.24,19,01:19:14,-27:07:29
9053,Quasar,16.39,67,17:32:00,+88:35:43
9054,Ruido,18.75,42,11:41:07,+01:42:57
9055,Variable_Star,20.83,13,10:15:33,+27:18:52
9056,Quasar,18.62,100,09:38:25,-81:22:58
9057,GRB,15.64,57,18:04:14,-53:33:55
9058,Supernova,12.58,64,06:29:31,-16:57:46
9059,Quasar,18.07,8,20:29:45,+60:52:23
9060,Supernova,21.35,77,05:59:07,+56:46:12
9061,GRB,21.85,76,23:18:49,+23:35:18
9062,GRB,12.10,27,22:58:52,-86:49:22
9063,Ruido,18.56,25,04:55:11,+78:09:10
9064,GRB,21.73,96,06:01:56,-84:01:14
9065,Quasar,18.49,85,04:48:51,-12:44:50
9066,Supernova,19.67,66,16:32:18,+77:42:14
9067,GRB,18.45,40,07:42:22,-47:58:24
9068,GRB,12.16,42,10:52:04,-41:02:52
9069,GRB,16.71,62,23:46:22,+22:27:55
9070,Quasar,15.89,64,04:30:16,+13:47:59
9071,Quasar,12.43,98,08:13:59,+47:38:51
9072,Quasar,21.24,90,16:03:21,-33:01:08
9073,Ruido,18.48,61,15:35:59,-43:45:29
9074,Variable_Star,15.35,30,12:16:20,+02:37:33
9075,Variable_Star,15.87,21,08:13:08,-44:55:11
9076,Ruido,14.44,21,18:56:51,-23:34:26
9077,Supernova,20.41,21,20:23:32,-61:55:49
9078,Variable_Star,16.44,45,01:56:50,-40:18:03
9079,Variable_Star,17.66,98,14:11:13,+58:57:10
9080,Ruido,15.31,75,03:41:35,-28:33:58
9081,Quasar,19.31,91,17:14:20,-60:18:17
9082,GRB,17.92,61,01:00:10,-83:37:21
9083,Supernova,16.47,32,10:08:38,-59:16:20
9084,Ruido,18.18,92,17:30:38,+25:14:52
9085,Quasar,16.06,19,06:24:47,+69:28:47
9086,GRB,17.14,42,10:46:51,+42:12:59
9087,Supernova,15.80,27,17:08:53,+26:52:23
9088,Supernova,17.12,64,04:29:02,-24:46:27
9089,GRB,18.71,93,22:43:26,-25:08:13
9090,Supernova,20.85,42,05:16:48,-01:00:56
9091,Supernova,18.55,82,18:56:19,-15:07:49
9092,Variable_Star,16.90,61,21:38:16,+60:35:00
9093,Supernova,21.54,15,11:10:02,+75:24:18
9094,Ruido,21.07,32,16:17:58,-04:04:55
9095,Quasar,16.88,4,15:56:32,-46:51:10
9096,Variable_Star,18.95,77,12:58:43,+35:28:54
9097,Ruido,15.95,31,01:07:13,-23:47:30
9098,Supernova,14.70,58,06:04:04,-32:42:00
9099,Quasar,21.60,87,00:29:33,+55:01:32
9100,Variable_Star,19.18,1,10:27:24,+45:30:31
9101,Quasar,20.85,32,11:14:35,-79:30:39
9102,GRB,20.36,38,03:41:20,-86:44:49
9103,Variable_Star,17.43,85,03:04:34,-64:30:01
9104,Variable_Star,14.58,54,02:13:25,-18:42:39
9105,Quasar,19.81,17,15:55:00,-84:04:42
9106,Supernova,12.92,44,04:40:58,-81:48:03
9107,Ruido,21.57,56,15:30:49,-58:35:02
9108,Ruido,12.01,77,06:59:32,-12:38:27
9109,Variable_Star,18.81,53,03:03:37,+14:15:18
9110,Variable_Star,15.11,11,14:55:04,-59:34:35
9111,Quasar,19.63,18,00:22:11,+54:37:10
9112,Supernova,12.64,82,19:30:30,-29:38:33
9113,Quasar,14.27,82,06:47:07,-21:23:03
9114,Variable_Star,17.72,64,01:33:24,-49:36:46
9115,Variable_Star,16.04,40,14:45:27,-16:33:58
9116,Quasar,20.99,62,11:51:50,-38:07:37
9117,Variable_Star,17.17,2,11:58:36,-69:01:09
9118,Variable_Star,14.56,77,07:40:10,+35:15:55
9119,GRB,18.79,48,03:35:22,+45:04:14
9120,Variable_Star,15.60,37,05:46:53,-45:15:52
9121,Quasar,15.78,90,00:54:08,+51:12:49
9122,Quasar,20.99,8,21:03:45,-26:11:21
9123,Ruido,21.48,43,23:32:47,-27:45:33
9124,Supernova,12.18,83,02:52:12,-89:53:06
9125,GRB,18.73,30,23:37:12,-79:30:16
9126,Quasar,20.63,47,04:36:24,+20:34:57
9127,Variable_Star,21.37,72,23:11:44,+53:17:36
9128,Quasar,15.08,50,02:27:10,-17:26:48
9129,Ruido,17.05,30,21:20:10,-28:31:46
9130,Ruido,13.38,35,17:32:17,-12:30:28
9131,GRB,15.07,78,18:18:04,-39:24:32
9132,Variable_Star,20.16,99,06:25:29,+11:18:49
9133,Ruido,18.60,35,12:25:29,+64:08:01
9134,GRB,17.76,54,14:45:50,-19:32:08
9135,Variable_Star,20.23,56,00:16:22,-88:32:48
9136,Variable_Star,13.02,11,07:50:46,+32:20:11
9137,GRB,14.00,33,04:20:54,+41:58:39
9138,Variable_Star,15.71,20,17:51:01,-40:52:18
9139,Ruido,20.92,84,10:23:56,+12:43:46
9140,Supernova,16.13,12,13:34:19,+67:46:40
9141,Ruido,17.02,64,10:04:00,+26:48:51
9142,Ruido,12.87,74,23:44:38,+56:11:01
9143,Ruido,19.70,77,12:06:10,+27:39:45
9144,Quasar,17.34,53,15:19:01,-40:46:06
9145,Supernova,16.18,92,03:05:59,+71:03:44
9146,Variable_Star,20.78,94,13:38:42,-32:10:49
9147,Variable_Star,20.19,48,06:47:01,+51:25:20
9148,Quasar,19.07,10,22:59:31,+59:09:36
9149,Quasar,12.47,68,13:34:33,+01:08:11
9150,Supernova,16.63,36,00:57:10,+04:13:58
9151,Variable_Star,12.09,39,21:49:06,+87:44:05
9152,Variable_Star,17.67,25,03:23:17,+55:57:52
9153,Supernova,16.69,1,13:41:28,+74:43:26
9154,GRB,14.51,67,01:47:40,-08:40:29
9155,Variable_Star,18.60,23,15:10:47,+73:18:11
9156,Supernova,13.09,15,01:28:37,-75:01:18
9157,Variable_Star,21.46,3,00:02:17,+30:05:04
9158,Supernova,17.55,76,20:06:24,-79:46:35
9159,Quasar,18.78,89,01:52:59,-52:57:28
9160,Quasar,12.49,50,03:36:27,-56:36:29
9161,Variable_Star,14.81,59,13:37:08,-34:27:15
9162,Ruido,17.23,2,07:23:42,-54:26:35
9163,Supernova,18.63,55,16:30:35,-59:39:12
9164,Ruido,20.44,83,02:19:06,+37:52:43
9165,Quasar,13.96,18,02:55:42,-67:14:05
9166,Quasar,16.42,54,10:38:12,+84:19:42
9167,Variable_Star,16.94,36,18:07:12,+17:14:31
9168,Ruido,21.45,41,10:47:36,+19:53:31
9169,Supernova,12.28,77,09:51:12,+80:16:51
9170,GRB,14.51,17,20:48:39,-50:35:47
9171,Variable_Star,13.86,2,23:53:58,-24:18:46
9172,Quasar,21.16,67,12:13:41,-40:38:33
9173,Variable_Star,17.82,84,08:44:05,+03:35:54
9174,GRB,20.18,49,23:14:40,-90:12:33
9175,Quasar,17.81,88,17:33:47,-17:04:01
9176,GRB,15.48,65,15:50:14,-02:11:58
9177,Variable_Star,19.06,57,11:53:22,+85:51:37
9178,Ruido,20.70,84,05:50:25,-74:35:58
9179,Quasar,21.98,5,21:05:23,+09:45:14
9180,Ruido,14.43,42,18:49:07,-32:17:01
9181,Ruido,14.72,89,08:55:45,-58:08:36
9182,Ruido,14.28,19,13:06:11,+23:00:17
9183,GRB,17.57,4,06:20:17,+34:06:06
9184,Quasar,16.24,41,20:07:40,+41:28:36
9185,Variable_Star,18.46,74,02:14:58,-39:49:04
9186,Variable_Star,16.60,8,18:29:38,+55:45:58
9187,GRB,16.52,8,04:16:30,+19:06:38
9188,Supernova,20.46,10,21:20:45,+23:25:59
9189,Variable_Star,19.07,83,16:10:17,+46:56:46
9190,Supernova,19.55,54,09:50:59,-07:03:15
9191,Quasar,18.58,38,14:56:13,+39:50:33
9192,Variable_Star,16.64,99,11:03:41,-38:44:52
9193,Variable_Star,16.98,82,08:53:34,+69:16:25
9194,Quasar,19.40,47,03:42:07,+02:19:04
9195,Ruido,12.42,91,06:30:22,-42:58:26
9196,Quasar,14.66,17,19:50:40,+26:11:33
9197,Supernova,12.80,84,15:57:34,-71:05:17
9198,Supernova,18.01,62,07:20:39,-51:37:10
9199,Variable_Star,20.98,14,00:51:24,-55:41:15
9200,Quasar,15.33,45,10:33:31,-41:11:28
9201,Quasar,14.95,57,03:31:10,+48:50:30
9202,Variable_Star,12.60,13,14:38:02,+45:40:53
9203,GRB,20.71,58,10:44:54,+66:10:27
9204,Supernova,16.51,65,21:18:56,-09:27:28
9205,Ruido,14.33,32,03:39:22,-41:16:01
9206,Supernova,12.25,70,04:11:34,+49:36:18
9207,Ruido,16.84,49,03:52:56,+53:45:14
9208,Ruido,14.17,71,05:50:56,+05:58:36
9209,Quasar,14.54,88,22:33:54,+25:45:05
9210,Supernova,17.33,71,12:13:11,-89:21:04
9211,Quasar,13.60,84,04:53:03,+71:06:54
9212,Quasar,18.46,89,10:33:08,-33:29:41
9213,Supernova,13.37,45,07:20:59,-86:52:12
9214,Supernova,20.78,57,07:49:43,-67:00:37
9215,GRB,21.11,74,02:44:23,+84:11:56
9216,GRB,17.13,44,19:44:34,-44:03:55
9217,Supernova,12.79,80,10:17:40,-86:35:29
9218,Ruido,19.21,51,09:54:25,-68:59:10
9219,Variable_Star,21.68,36,10:04:52,+71:52:36
9220,Variable_Star,13.41,66,09:23:44,-55:50:02
9221,Quasar,20.63,63,08:36:20,+68:59:15
9222,Supernova,13.22,25,11:38:13,+59:05:17
9223,Ruido,21.88,18,07:27:19,+85:52:42
9224,Ruido,12.66,55,18:56:24,-21:18:01
9225,Ruido,13.87,2,23:29:08,-46:57:46
9226,Variable_Star,19.86,88,18:29:51,+81:48:19
9227,Supernova,19.80,19,23:29:15,+06:15:11
9228,Quasar,18.39,51,23:22:41,-90:22:10
9229,GRB,18.17,13,22:05:55,+54:51:24
9230,Ruido,20.18,21,23:05:59,-58:04:29
9231,Variable_Star,18.15,75,15:33:23,-65:32:45
9232,Quasar,17.39,12,00:41:44,-65:37:50
9233,GRB,16.24,70,11:05:30,+33:04:36
9234,Ruido,14.54,69,04:41:18,+74:19:51
9235,Supernova,16.70,40,01:18:56,-57:18:37
9236,Quasar,16.58,25,18:31:40,-08:59:45
9237,Quasar,18.79,84,14:21:05,-41:31:47
9238,Variable_Star,16.42,11,10:44:35,+63:47:53
9239,Ruido,21.82,20,10:54:39,+32:40:10
9240,Supernova,13.27,17,02:06:51,+82:41:12
9241,GRB,21.61,74,20:32:10,+81:59:55
9242,Variable_Star,20.37,72,10:37:42,+23:03:36
9243,Supernova,19.39,28,11:05:24,+27:13:30
9244,Variable_Star,13.81,19,17:14:09,-07:04:41
9245,Ruido,12.28,68,13:34:31,-37:59:09
9246,Quasar,18.28,21,14:55:56,+70:23:02
9247,Supernova,12.49,26,19:33:26,-90:16:40
9248,GRB,19.47,76,20:23:46,+05:58:21
9249,GRB,14.62,35,04:15:58,-16:52:53
9250,Supernova,19.61,29,09:03:20,+30:51:54
9251,GRB,20.66,18,19:01:55,+09:52:19
9252,Supernova,16.04,29,16:27:33,-84:39:48
9253,GRB,12.71,69,21:25:26,-54:50:30
9254,Variable_Star,17.06,37,10:37:14,+23:25:15
9255,Variable_Star,21.71,13,21:18:32,-59:59:59
9256,Ruido,12.24,65,13:02:43,-49:56:09
9257,Ruido,13.41,99,04:41:29,+09:07:06
9258,Ruido,19.60,53,01:19:30,-59:12:48
9259,Ruido,15.81,80,16:06:49,-27:39:51
9260,GRB,20.88,80,05:33:56,-52:44:37
9261,Ruido,14.96,76,19:05:30,-26:07:50
9262,Quasar,15.11,3,16:01:25,-06:43:32
9263,Supernova,12.78,19,03:09:04,+81:22:38
9264,Quasar,17.92,39,12:17:40,-41:07:46
9265,Ruido,16.77,91,14:20:12,+29:00:14
9266,GRB,16.77,96,14:46:02,+55:55:11
9267,Quasar,20.77,57,12:46:09,+75:17:27
9268,Ruido,17.59,58,08:20:03,-42:58:23
9269,Variable_Star,18.35,40,17:43:52,+31:20:39
9270,Ruido,13.46,58,21:02:27,-06:33:13
9271,Ruido,16.82,51,02:04:04,+30:27:24
9272,Ruido,19.20,38,02:12:01,+04:54:44
9273,Variable_Star,17.90,7,01:18:13,+23:12:15
9274,GRB,18.74,82,07:18:18,+56:23:23
9275,Quasar,12.66,84,07:47:33,+32:55:45
9276,Ruido,16.41,67,10:50:15,+02:53:33
9277,Ruido,17.25,77,23:36:26,+57:54:44
9278,GRB,19.21,14,12:35:12,-29:53:00
9279,Quasar,17.72,93,15:16:21,-31:42:12
9280,Variable_Star,14.28,10,03:58:37,+76:57:14
9281,Supernova,19.80,14,02:54:52,-43:24:28
9282,Variable_Star,19.50,36,11:38:55,-19:18:12
9283,Ruido,18.37,92,23:13:08,-77:23:06
9284,Ruido,15.14,7,22:41:51,-76:48:45
9285,Quasar,12.65,16,09:32:54,+49:00:33
9286,Ruido,16.13,87,21:10:30,+58:08:43
9287,Quasar,14.15,12,01:55:26,-63:51:07
9288,GRB,21.36,93,18:53:59,+75:18:31
9289,Quasar,12.79,54,09:47:57,-45:41:07
9290,Ruido,17.23,27,11:29:29,+19:34:24
9291,GRB,19.23,25,03:43:11,-76:29:04
9292,GRB,16.01,38,14:13:27,-67:36:14
9293,GRB,20.66,95,05:37:27,-04:06:57
9294,Quasar,19.18,53,08:45:14,+21:55:58
9295,Quasar,12.03,46,21:04:51,-42:39:05
9296,Ruido,19.99,70,23:53:34,+73:05:11
9297,Supernova,17.73,30,07:32:01,+63:54:46
9298,GRB,17.20,70,01:19:42,+06:13:46
9299,Supernova,16.84,44,11:12:14,-57:10:07
9300,Ruido,12.87,21,22:27:47,-47:47:19
9301,Supernova,18.43,22,00:44:44,+41:49:04
9302,Variable_Star,15.60,29,04:45:46,+26:14:59
9303,Quasar,16.31,16,00:11:14,-51:07:42
9304,GRB,15.70,50,07:37:08,+10:39:53
9305,Supernova,15.97,71,09:49:03,+30:02:49
9306,Variable_Star,18.81,6,10:33:29,+15:34:40
9307,Quasar,19.89,81,13:47:10,-83:07:48
9308,GRB,18.89,47,01:59:52,+48:22:42
9309,Quasar,12.38,74,15:28:25,+40:54:59
9310,Supernova,16.96,55,21:19:20,+39:52:08
9311,Quasar,21.14,27,17:05:57,-57:09:57
9312,GRB,21.25,32,18:45:21,+00:25:50
9313,Quasar,13.46,75,21:22:14,-07:16:34
9314,Quasar,21.98,45,22:53:21,-52:36:27
9315,GRB,19.98,61,03:51:32,-10:37:17
9316,Quasar,13.23,72,15:02:51,-20:57:13
9317,Ruido,16.18,51,05:13:30,+28:09:24
9318,GRB,15.80,1,11:33:48,-74:40:40
9319,Ruido,13.26,29,22:55:25,+25:34:27
9320,Variable_Star,21.68,42,17:36:50,-46:48:03
9321,Ruido,16.74,22,03:29:36,-57:58:09
9322,Quasar,12.70,84,16:42:57,+83:37:53
9323,Supernova,14.71,47,20:46:26,-43:30:02
9324,GRB,19.66,86,03:31:19,-21:41:49
9325,Quasar,20.74,81,03:52:52,+87:32:34
9326,Quasar,17.11,20,20:53:28,-34:44:15
9327,Ruido,12.08,77,19:06:32,+26:16:03
9328,Quasar,18.61,75,19:39:37,+19:48:29
9329,Variable_Star,19.88,4,01:44:33,-43:34:26
9330,Ruido,20.99,18,23:39:11,+45:26:18
9331,Supernova,12.96,58,08:04:14,-74:52:53
9332,Ruido,16.89,70,04:58:29,-46:01:13
9333,Ruido,14.94,81,05:01:42,-13:00:21
9334,Ruido,19.67,80,22:03:53,+03:23:58
9335,Ruido,16.90,85,15:12:20,-27:24:18
9336,Quasar,18.61,34,01:27:38,+64:42:40
9337,Variable_Star,13.37,68,22:45:26,+39:42:30
9338,Ruido,14.18,90,14:58:23,-12:38:35
9339,Ruido,21.85,0,02:49:40,-11:52:07
9340,GRB,19.36,84,17:17:58,-13:13:44
9341,Quasar,21.37,44,09:33:39,-40:08:38
9342,Ruido,17.80,27,06:21:15,-41:27:04
9343,Quasar,20.91,95,01:58:40,+73:43:58
9344,Quasar,13.47,20,14:01:08,-81:24:41
9345,Ruido,18.91,83,08:21:24,+19:38:46
9346,Quasar,21.11,22,22:51:06,+68:55:05
9347,Variable_Star,20.38,80,13:43:56,+43:19:58
9348,Quasar,15.83,38,13:05:04,-19:25:26
9349,Quasar,12.38,7,13:53:58,+54:49:50
9350,Quasar,19.12,77,23:16:36,+53:49:19
9351,Ruido,17.62,66,17:26:02,-72:00:07
9352,GRB,16.10,56,14:13:35,+33:47:29
9353,Ruido,18.02,32,12:31:02,-40:30:18
9354,Quasar,15.15,13,05:03:41,+65:47:08
9355,Quasar,20.91,14,00:04:33,+16:41:46
9356,GRB,15.75,58,16:02:10,-89:33:41
9357,GRB,20.32,21,08:43:31,-02:55:35
9358,GRB,19.95,37,07:41:15,-07:43:20
9359,GRB,15.22,2,19:30:23,-24:11:26
9360,Variable_Star,13.97,100,05:14:49,-09:36:32
9361,Quasar,12.89,48,13:16:16,+79:35:58
9362,Supernova,12.52,70,13:04:01,+11:51:31
9363,Quasar,14.34,72,09:46:55,-18:01:09
9364,Supernova,16.73,76,18:26:50,-44:00:07
9365,Variable_Star,21.56,71,11:09:45,-55:42:49
9366,Supernova,14.69,70,18:13:55,-05:38:42
9367,Supernova,12.41,74,13:16:12,-34:03:39
9368,GRB,15.11,67,06:50:37,+89:20:47
9369,Ruido,17.33,49,14:45:45,-38:30:59
9370,Supernova,21.85,64,22:22:40,+30:56:57
9371,Quasar,14.49,0,12:24:18,-53:42:09
9372,Quasar,18.98,49,15:27:01,-69:03:46
9373,Quasar,15.40,28,21:33:16,+02:29:38
9374,GRB,13.65,58,03:02:49,-64:34:14
9375,Variable_Star,19.79,95,14:36:38,-71:14:06
9376,GRB,15.59,15,21:14:29,-57:07:03
9377,Variable_Star,18.41,55,02:50:43,+34:58:45
9378,Variable_Star,13.26,33,18:35:06,+38:12:43
9379,Supernova,15.14,97,11:26:19,+21:20:33
9380,GRB,17.31,69,04:59:19,+39:05:09
9381,Variable_Star,19.87,14,04:18:16,+04:04:51
9382,Ruido,19.92,6,08:09:22,-32:37:49
9383,Ruido,14.38,16,05:21:41,+72:31:41
9384,Supernova,14.39,79,09:40:34,+08:52:52
9385,Quasar,15.99,96,16:02:44,+43:23:54
9386,GRB,19.23,52,22:22:45,-70:35:06
9387,Quasar,16.88,63,11:43:51,-41:07:32
9388,Quasar,18.68,41,17:28:48,+31:09:50
9389,Variable_Star,20.99,24,07:01:58,+62:58:20
9390,Ruido,12.81,93,17:53:24,-30:22:08
9391,Supernova,18.57,26,17:30:55,-62:13:24
9392,Quasar,21.01,57,19:19:27,-78:39:29
9393,GRB,16.96,46,09:06:32,-36:48:25
9394,Ruido,13.51,81,20:21:27,-71:06:58
9395,GRB,14.60,19,10:13:05,-88:03:25
9396,Variable_Star,13.18,6,23:09:33,-13:32:39
9397,Quasar,20.37,48,09:33:37,-53:24:59
9398,Ruido,17.14,8,15:33:20,+60:00:34
9399,Quasar,12.16,63,08:29:44,-16:28:54
9400,Quasar,20.99,43,15:52:16,-69:16:49
9401,Ruido,16.78,22,17:09:44,+57:47:17
9402,GRB,18.33,29,17:33:18,-25:54:48
9403,GRB,15.22,27,00:18:10,-10:56:02
9404,Ruido,12.66,31,12:48:47,+48:32:56
9405,Variable_Star,15.66,74,19:31:22,-73:15:56
9406,Variable_Star,18.30,85,05:44:10,-02:45:28
9407,Ruido,13.95,41,17:54:28,-87:27:17
9408,Quasar,14.17,84,18:43:12,-01:31:44
9409,Quasar,18.25,0,19:01:37,+28:14:22
9410,Quasar,19.39,12,06:24:18,+36:06:13
9411,GRB,13.37,68,11:56:53,-34:42:37
9412,Variable_Star,14.04,15,06:04:46,-45:53:48
9413,Quasar,17.46,5,06:22:47,-23:39:11
9414,Ruido,15.61,31,22:32:26,+17:00:23
9415,Variable_Star,15.26,10,02:50:18,-44:06:23
9416,GRB,15.56,27,20:14:49,+70:29:11
9417,Ruido,20.71,85,21:33:12,-55:28:45
9418,Ruido,12.74,77,01:33:05,-63:40:56
9419,Variable_Star,21.34,4,20:58:23,-68:48:38
9420,Quasar,19.00,13,03:23:00,+87:16:33
9421,Supernova,16.71,4,22:07:07,+39:09:40
9422,Quasar,15.17,35,17:46:17,+52:37:15
9423,GRB,19.47,6,19:41:45,+82:49:08
9424,Quasar,20.21,42,12:01:53,+12:58:00
9425,Ruido,18.92,17,08:30:29,+40:15:16
9426,GRB,12.41,90,06:13:38,-30:03:20
9427,GRB,12.08,16,05:58:59,+30:29:00
9428,Variable_Star,12.68,99,13:45:40,+44:07:10
9429,Supernova,20.55,43,12:52:28,-18:08:41
9430,GRB,16.75,75,09:34:45,+07:48:43
9431,Variable_Star,16.83,22,12:02:17,+03:36:02
9432,GRB,15.61,17,08:36:01,+53:06:53
9433,Supernova,17.14,4,23:33:30,+37:56:05
9434,Variable_Star,16.78,91,04:00:23,-18:32:25
9435,Ruido,12.62,4,17:15:24,+74:37:00
9436,Quasar,16.16,11,20:40:37,+68:38:11
9437,Supernova,15.46,12,11:48:35,-21:59:36
9438,Ruido,15.95,15,04:05:12,-47:49:27
9439,Ruido,19.40,8,15:40:30,+47:31:10
9440,Supernova,16.07,83,13:48:10,+36:17:58
9441,Supernova,18.78,97,21:27:21,-81:39:26
9442,Supernova,20.96,27,17:32:00,+57:11:41
9443,Supernova,21.58,22,12:21:37,-31:56:26
9444,Variable_Star,18.36,73,11:56:24,-12:50:51
9445,Ruido,20.97,51,05:09:24,+04:53:56
9446,Variable_Star,19.19,14,05:02:05,-07:32:27
9447,GRB,20.76,38,12:22:01,-44:50:57
9448,Ruido,14.80,80,12:04:41,-85:19:51
9449,Variable_Star,20.47,76,09:23:28,+03:37:31
9450,Ruido,12.88,7,01:11:56,-08:42:19
9451,Variable_Star,21.77,16,10:38:26,-48:09:31
9452,Quasar,13.96,85,19:37:41,+09:00:04
9453,GRB,17.35,70,13:09:47,+22:13:58
9454,Variable_Star,18.82,69,21:09:39,-81:35:18
9455,Variable_Star,20.34,47,00:46:40,+63:33:18
9456,Variable_Star,13.18,31,14:09:50,-33:42:00
9457,GRB,15.33,23,01:54:54,+48:47:04
9458,Variable_Star,20.43,67,17:20:30,-51:20:16
9459,Quasar,14.00,84,04:44:57,+00:21:06
9460,Supernova,18.81,82,08:47:08,+15:52:02
9461,Variable_Star,18.42,85,13:04:41,-48:49:01
9462,Ruido,12.38,37,00:55:34,+63:06:18
9463,Quasar,18.13,67,21:57:21,+40:19:08
9464,Quasar,21.02,1,22:23:39,+47:57:43
9465,Variable_Star,14.05,55,11:56:35,+60:57:30
9466,Variable_Star,20.14,63,17:37:14,-21:31:12
9467,Ruido,14.55,52,21:07:25,+69:02:49
9468,Variable_Star,20.09,79,06:15:59,+58:43:56
9469,Variable_Star,17.63,91,22:57:43,+10:40:20
9470,Quasar,12.62,87,00:47:07,+04:40:14
9471,Quasar,17.61,29,18:06:06,+10:22:21
9472,Variable_Star,14.02,8,11:37:38,-20:33:36
9473,GRB,13.10,29,10:54:21,-34:54:09
9474,Variable_Star,16.40,83,16:23:23,+84:09:29
9475,GRB,19.19,87,10:16:04,+02:45:41
9476,GRB,13.52,23,18:15:20,-78:42:15
9477,Variable_Star,12.20,17,13:27:36,-19:07:00
9478,Ruido,13.02,16,06:10:52,-65:36:09
9479,Supernova,13.18,92,21:16:03,-67:03:19
9480,Variable_Star,13.21,3,17:32:03,+73:07:30
9481,Variable_Star,17.17,64,12:18:44,+33:34:54
9482,Variable_Star,19.19,52,17:55:38,+24:49:54
9483,Ruido,21.53,97,00:25:05,-80:10:37
9484,GRB,12.76,75,14:35:16,-45:07:34
9485,Quasar,20.07,15,21:22:52,-15:05:47
9486,GRB,19.32,62,23:25:34,+78:27:00
9487,GRB,17.10,17,15:37:14,-16:14:50
9488,Ruido,16.87,97,06:28:46,-18:22:08
9489,Supernova,20.04,24,01:51:58,+33:49:24
9490,Supernova,19.69,87,06:47:22,-12:27:59
9491,Ruido,20.70,23,12:33:42,-02:48:11
9492,Supernova,14.03,58,09:28:22,+28:32:14
9493,Ruido,14.29,7,01:29:50,+74:45:38
9494,Supernova,13.88,9,06:52:57,+02:24:30
9495,Supernova,20.93,32,10:09:31,+89:34:59
9496,Supernova,14.33,54,14:52:45,+34:55:15
9497,Variable_Star,20.38,0,04:07:11,-43:24:04
9498,Supernova,21.19,47,17:08:21,-79:34:31
9499,Variable_Star,17.67,9,13:56:19,-69:33:11
